fromNode	toNode	weight	direction	fromAltName	toAltName
245035_at	256593_at	0.545217302819079	undirected	AT2G26400	AT3G28510
245035_at	257061_at	0.645683917209906	undirected	AT2G26400	AT3G18250
245035_at	258395_at	0.581677088071015	undirected	AT2G26400	AT3G15500
245035_at	258606_at	0.597369245360755	undirected	AT2G26400	AT3G02840
245035_at	259033_at	0.555006788017026	undirected	AT2G26400	AT3G09405 /// AT3G09410
245035_at	259197_at	0.524659272799979	undirected	AT2G26400	AT3G03670
245035_at	259428_at	0.714885283013205	undirected	AT2G26400	AT1G01560
245035_at	259626_at	0.580638741844368	undirected	AT2G26400	AT1G42990
245035_at	260261_at	0.68779358888939	undirected	AT2G26400	AT1G68450
245035_at	260415_at	0.540667522018846	undirected	AT2G26400	AT1G69790
245035_at	260522_x_at	0.625145331980754	undirected	AT2G26400	AT2G41730
245035_at	260908_at	0.538806329502911	undirected	AT2G26400	AT1G02580
245035_at	260932_s_at	0.562530138073225	undirected	AT2G26400	AT1G02520 /// AT1G02530
245035_at	260971_at	0.538645829755956	undirected	AT2G26400	AT1G53620
245035_at	261006_at	0.654511203396034	undirected	AT2G26400	AT1G26410
245035_at	261020_at	0.688582053456934	undirected	AT2G26400	AT1G26390
245035_at	261021_at	0.702557875446765	undirected	AT2G26400	AT1G26380
245035_at	261193_at	0.510569308531652	undirected	AT2G26400	AT1G32920
245035_at	261242_at	0.722899659114096	undirected	AT2G26400	AT1G32960
245035_at	261249_at	0.508709523280517	undirected	AT2G26400	AT1G05880
245035_at	262244_at	0.576110886207831	undirected	AT2G26400	AT1G48260
245035_at	263401_at	0.680940025249399	undirected	AT2G26400	AT2G04070
245035_at	263893_at	0.536235917473152	undirected	AT2G26400	AT2G21900
245035_at	263916_at	0.60713115075601	undirected	AT2G26400	AT2G36440
245035_at	264543_at	0.708848430147012	undirected	AT2G26400	AT1G55780 /// AT1G55790
245035_at	265192_at	0.586306051043078	undirected	AT2G26400	AT1G05060
245035_at	265221_s_at	0.709136372356745	undirected	AT2G26400	AT2G02000 /// AT2G02010
245035_at	265260_at	0.514147855416854	undirected	AT2G26400	AT2G43000
245035_at	265670_s_at	0.610594670539723	undirected	AT2G26400	AT2G32190 /// AT2G32210
245035_at	265674_at	0.554471645321483	undirected	AT2G26400	AT2G32190
245035_at	265732_at	0.703437030173743	undirected	AT2G26400	AT2G01300
245035_at	266071_at	0.611666209309736	undirected	AT2G26400	AT2G18670 /// AT2G18680
245035_at	266281_at	0.573427873414618	undirected	AT2G26400	AT2G29250
245035_at	266292_at	0.586528473567628	undirected	AT2G26400	AT2G29350
245035_at	266571_at	0.639515947907619	undirected	AT2G26400	AT2G23830
245035_at	267026_at	0.650204803989359	undirected	AT2G26400	AT2G38340
245035_at	267502_at	0.654509459441841	undirected	AT2G26400	AT2G45550
245035_at	267565_at	0.650598610962885	undirected	AT2G26400	AT2G30750
245035_at	267567_at	0.609500437534318	undirected	AT2G26400	AT2G30770
245038_at	245082_at	0.839886248272625	undirected	AT2G26560	AT2G23270
245038_at	245329_at	0.793666721435902	undirected	AT2G26560	AT4G14365
245038_at	245738_at	0.908383308371247	undirected	AT2G26560	AT1G44130
245038_at	245755_at	0.751512877160867	undirected	AT2G26560	AT1G35210
245038_at	245866_s_at	0.742844593893922	undirected	AT2G26560	AT1G57980 /// AT1G57990
245038_at	245875_at	0.720334911883693	undirected	AT2G26560	AT1G26240
245038_at	246099_at	0.665029315149047	undirected	AT2G26560	AT5G20230
245038_at	246349_at	0.542313876492101	undirected	AT2G26560	AT1G51915
245038_at	246405_at	0.556723697906493	undirected	AT2G26560	AT1G57630
245038_at	246406_at	0.846963227796892	undirected	AT2G26560	AT1G57650
245038_at	246927_s_at	0.6293794126847	undirected	AT2G26560	AT5G25250 /// AT5G25260
245038_at	246988_at	0.727995613378911	undirected	AT2G26560	AT5G67340
245038_at	247064_at	0.559724795710988	undirected	AT2G26560	AT5G66890
245038_at	247145_at	0.82540140115469	undirected	AT2G26560	AT5G65600
245038_at	247655_at	0.740814982531202	undirected	AT2G26560	AT5G59820
245038_at	247848_at	0.836863143606366	undirected	AT2G26560	AT5G58120
245038_at	247913_at	0.886962357670912	undirected	AT2G26560	AT5G57510
245038_at	249001_at	0.554935318262626	undirected	AT2G26560	AT5G44990
245038_at	249188_at	0.745829247455069	undirected	AT2G26560	AT5G42830
245038_at	249197_at	0.892751303221369	undirected	AT2G26560	AT5G42380
