fromNode	toNode	weight
AT2G26560	AT1G07000	0.811761435365325
AT2G26560	AT1G55020	0.563912063805936
AT2G26560	AT1G66700	0.65011175220352
AT2G26560	AT1G66690	0.65011175220352
AT2G26560	AT3G10930	0.597016740987419
AT2G26560	AT1G66090	0.898786713380811
AT2G26560	AT3G14770	0.633437898608635
AT2G26560	AT3G28210	0.769829747374535
AT2G26560	AT3G28510	0.661936142235431
AT2G26560	AT3G22910	0.522142573838809
AT2G26560	AT3G18250	0.874562423085149
AT2G26560	AT3G23250	0.541677078598585
AT2G26560	AT3G21720	0.584750999484887
AT2G26560	AT3G15500	0.885218393977045
AT2G26560	AT3G02840	0.73300034628833
AT2G26560	AT3G09405	0.606050755105312
AT2G26560	AT3G09410	0.606050755105312
AT2G26560	AT3G01650	0.500633116280473
AT2G26560	AT3G03670	0.828930803437404
AT2G26560	AT3G03870	0.514274757316029
AT2G26560	AT3G09260	0.514274757316029
AT2G26560	AT1G13340	0.632136583661866
AT2G26560	AT1G01560	0.953421424576391
AT2G26560	AT1G02310	0.657670659687479
AT2G26560	AT1G19020	0.629371435661004
AT2G26560	AT1G28010	0.504140934454061
AT2G26560	AT1G42990	0.539388773852326
AT2G26560	AT1G76700	0.627869739134755
AT2G26560	AT1G68450	0.880506154219768
AT2G26560	AT1G63750	0.573970421490188
AT2G26560	AT1G74080	0.506893406521609
AT2G26560	AT1G69790	0.806283245146464
AT2G26560	AT1G15010	0.608662253400855
AT2G26560	AT1G78410	0.522768183989117
AT2G26560	AT1G02580	0.680920563203597
AT2G26560	AT1G02530	0.5776282081992
AT2G26560	AT1G02520	0.5776282081992
AT2G26560	AT1G53620	0.799375400180753
AT2G26560	AT1G26420	0.672827185474174
AT2G26560	AT1G26410	0.950777947280567
AT2G26560	AT1G26390	0.978507410239821
AT2G26560	AT1G26380	0.980268643982205
AT2G26560	AT1G33030	0.693500107648588
AT2G26560	AT1G32940	0.563105632063394
AT2G26560	AT1G32960	0.884490139161058
AT2G26560	AT1G05880	0.672711012583755
AT2G26560	AT1G14550	0.657070009575955
AT2G26560	AT1G01190	0.535474360874455
AT2G26560	AT1G64670	0.520140830720099
AT2G26560	AT1G48260	0.87427716548648
AT2G26560	AT1G28600	0.607539549416825
AT2G26560	AT2G04070	0.92307045538826
AT2G26560	AT2G03980	0.517893449575134
AT2G26560	AT2G21900	0.83887803706122
AT2G26560	AT2G36440	0.861997375553113
AT2G26560	AT1G61820	0.695877549546009
AT2G26560	AT1G55780	0.982947771366645
AT2G26560	AT1G55790	0.982947771366645
AT2G26560	AT1G05340	0.503613401253167
AT2G26560	AT1G03660	0.568565264632135
AT2G26560	AT1G24140	0.54882874429301
AT2G26560	AT1G05060	0.798079906114789
AT2G26560	AT2G02000	0.816900467568743
AT2G26560	AT2G02010	0.816900467568743
AT2G26560	AT2G43000	0.681908028207278
AT2G26560	AT2G16630	0.716399807380952
AT2G26560	AT2G32190	0.782115974869154
AT2G26560	AT2G32210	0.782115974869154
AT2G26560	AT2G32190	0.736488798894807
AT2G26560	AT2G01300	0.945274516108487
AT2G26560	AT2G35730	0.506388109681544
AT2G26560	AT2G15220	0.568345517165945
AT2G26560	AT2G15120	0.568345517165945
AT2G26560	AT2G18670	0.791645811054474
AT2G26560	AT2G18680	0.791645811054474
AT2G26560	AT2G29250	0.810910565839546
AT2G26560	AT2G29220	0.716469512676377
AT2G26560	AT2G29350	0.769175356580825
AT2G26560	AT2G38790	0.601703863120046
AT2G26560	AT2G23830	0.855825106625299
AT2G26560	AT2G29100	0.613304330257722
AT2G26560	AT2G39400	0.693555732090325
AT2G26560	AT2G38340	0.830717639745314
AT2G26560	AT2G45550	0.641544161836687
AT2G26560	AT2G30750	0.862964650717613
AT2G26560	AT2G30770	0.844678239702589
AT2G26530	AT5G27420	0.749534491267504
AT2G26530	AT5G25930	0.577421430398185
AT2G26530	AT5G66070	0.61176524359042
AT2G26530	AT5G59820	0.501249291777377
AT2G26530	AT5G35735	0.536222210827322
AT2G26530	AT5G08240	0.545895848173092
AT2G26530	AT3G62150	0.510585282444868
AT2G26530	AT3G61390	0.594095010806365
AT2G26530	AT3G61190	0.66458890263628
AT2G26530	AT3G59080	0.819885299228534
AT2G26530	AT4G33050	0.596816760958808
AT2G26530	AT4G23190	0.544941053005581
AT2G26530	AT4G09100	0.505935353256941
AT2G26530	AT1G18570	0.612474626436271
AT2G26530	AT1G07000	0.554628080479714
AT2G26530	AT3G14470	0.572537359028027
AT2G26530	AT3G04640	0.55322877350171
AT2G26530	AT1G19020	0.69211289669967
AT2G26530	AT1G76700	0.540939302655055
AT2G26530	AT1G74360	0.645519638668894
AT2G26530	AT1G69790	0.554179760919153
AT2G26530	AT1G26420	0.522581350307397
AT2G26530	AT1G61820	0.504391515408283
AT2G26530	AT1G03660	0.658385352586098
AT2G26530	AT1G23710	0.578133337186044
AT2G26530	AT2G18690	0.51727002847762
AT2G26530	AT2G38470	0.898082608439234
AT2G26500	AT3G26740	0.635755609362936
AT2G23320	AT5G51070	0.52740498809182
AT2G23170	AT5G14780	0.502519724904607
AT2G23170	AT5G22555	0.515018372879731
AT2G23170	AT1G61800	0.549087931275636
AT2G23170	AT1G60750	0.599712106460402
AT2G23270	AT4G14365	0.813295471410941
AT2G23270	AT4G16820	0.67810137593036
