TF	Target	importance
AT2G24430	AT1G28010	0.0028670750478518403
AT3G50260	AT1G28380	0.16729649660024784
AT3G15500	AT1G32960	0.006853338044134394
AT2G43000	AT2G26560	0.00015313371153345736
AT2G24430	AT4G25960	0.03223595862195957
AT1G28470	AT3G62150	0.032889374948948044
AT3G23250	AT4G26120	0.0356776571993813
AT3G15500	AT3G14770	0.010551471346031582
AT2G43000	AT2G38340	0.0021922280716228713
AT2G43000	AT4G04990	0.04567187568324171
AT2G43000	AT4G11170	0.004345006559124974
AT2G21900	AT1G35210	0.001429099409482938
AT3G15500	AT4G18990	0.014720454363189759
AT1G74840	AT5G24490	0.28799355989538156
AT3G15500	AT5G57510	0.009057507839369188
AT1G28470	AT4G24510	0.03090856541930981
AT3G01970	AT1G23710	0.022120096884018503
AT3G15500	AT1G05340	0.013212539355018543
AT3G15500	AT4G28460	0.002549590665976875
AT3G01970	AT1G02530	0.009468966336670449
AT2G38340	AT3G18250	0.01676182585947253
AT3G23250	AT3G47730	0.0067832146197148785
AT1G34180	AT5G12330	0.22887059520806846
AT5G13080	AT2G30250	0.04225003013560776
AT2G38340	AT4G18990	0.03421067674040157
AT2G43000	AT2G35730	0.004145536266247956
AT2G30250	AT1G76700	0.047301310055667824
AT3G15500	AT1G33030	0.0048949251684174385
AT2G43000	AT1G19020	0.013615398309176633
AT3G15500	AT3G03870	0.016307678425218967
AT2G24430	AT5G22270	0.003274186155964991
AT3G23250	AT1G13340	0.08891778677266515
AT2G43000	AT1G69790	0.04503393178681652
AT3G01970	AT1G76070	0.0172364868302276
AT2G24430	AT5G22500	0.0024586779688890014
AT2G21900	AT5G42830	0.0055583862751932
AT2G21900	AT4G37900	0.056008670572835755
AT2G38470	AT5G25930	0.044616400633352274
AT1G28470	AT5G46180	0.0008333725254462917
AT2G43000	AT4G19980	0.001870582242236178
AT3G15500	AT4G21380	0.01443284949972879
AT2G38340	AT1G57650	0.016504758925838716
AT2G24430	AT1G55020	0.10342451554938077
AT3G15500	AT2G21900	0.00100478774128439
AT1G06160	AT5G06570	0.19777714343896757
AT3G15500	AT2G29350	0.011786419940453725
AT2G43000	AT1G76070	0.0001348325519772528
AT3G50260	AT3G55270	0.15643916436586658
AT3G23250	AT1G68450	0.021871607666158713
AT2G43000	AT1G05060	0.0103763558951926
AT1G34180	AT5G64000	0.04024158691205429
AT5G18270	AT5G54730	0.036937437291063795
AT2G38340	AT5G42380	0.0010473605135556513
AT2G43000	AT4G18250	0.02098414267399008
AT2G21900	AT4G26200	0.0029447624207645626
AT3G15500	AT1G05880	0.04278232948282702
AT3G15500	AT3G01650	0.00817347251740468
AT2G24430	AT1G28470	0.03681050156627243
AT5G10510	AT3G08760	0.03747304125147451
AT2G43000	AT1G02530	0.0001977408202724814
AT2G43000	AT1G42990	0.0010424962934486113
AT2G21900	AT1G70810	0.013876007982884946
AT3G15500	AT2G30770	0.020772424239202912
AT3G50260	AT1G05340	0.006108477035166815
AT2G43000	AT2G30750	0.020704516631365494
AT3G23250	AT3G57880	0.16278249041236598
AT2G22540	AT1G55260	7.791808637272811e-07
AT2G43000	AT1G74360	0.005274666539917895
AT1G33420	AT4G15630	0.12990672390771882
AT2G24430	AT1G27950	0.10229501079784825
AT2G38470	AT5G27420	0.20822864254372928
AT2G21900	AT3G03670	0.0030304910378235257
AT2G43000	AT1G66700	0.06712668739682973
AT1G42990	AT1G02530	0.03346045837278327
AT1G28470	AT2G38860	0.045720480899394164
AT2G43000	AT4G09100	0.0045116870293546475
AT1G42990	AT1G76600	0.027135877766455412
AT3G50260	AT5G08240	0.11114856639559623
AT2G43000	AT3G62150	0.0020043251377362716
AT5G18270	AT3G25610	0.014693503925727996
AT2G24430	AT3G16370	0.2070393450064561
AT3G15500	AT1G48260	0.002519995251163982
AT3G15500	AT4G23180	0.0030813655239097593
AT3G09600	AT1G01060	0.16547546368524868
AT3G01970	AT1G26410	0.02549745103888373
AT3G50260	AT4G37390	0.019573473402686305
AT2G24430	AT1G06360	0.016723771964348478
AT1G28470	AT5G60710	0.021558280307104324
AT2G21900	AT1G26380	0.029926975069872613
AT3G15500	AT2G29220	0.029747403417121013
AT1G28470	AT1G02520	0.0024662064789133585
AT2G43000	AT3G19580	0.011642201715662836
AT2G21900	AT1G76700	0.00016952105756077467
AT2G30250	AT5G25930	0.08381668442010409
AT2G43000	AT2G43510	0.004005275794991944
AT2G30250	AT2G18690	0.03554472102589097
AT1G28470	AT5G61560	0.039864987389475005
AT3G15500	AT1G05060	6.649293518229814e-05
AT1G28470	AT1G29670	0.08839611405938923
AT3G15500	AT4G26200	0.0059617250639699484
AT1G18570	AT5G41750	0.011888431230144353
AT3G01970	AT1G68450	0.10340572811497806
AT3G15500	AT1G26410	0.0811951278313826
AT1G18570	AT5G35735	0.07663618085845275
AT3G23250	AT4G18250	0.0030580846845363295
AT2G43000	AT5G26920	0.05753821068281798
AT3G23250	AT4G37900	0.00852370520994712
AT2G38470	AT4G33050	0.0771946112464563
AT1G42990	AT1G02520	0.008848562611672856
AT3G15500	AT2G43000	0.0767909348024679
AT2G43000	AT2G38860	0.03818525005789319
AT1G28470	AT4G25960	0.060439162506862966
AT2G30250	AT1G23710	0.024814732907694138
AT1G32870	AT2G36790	0.16408206108407622
AT4G18880	AT5G25930	0.09594324652634574
AT2G21900	AT5G67340	0.002712017399879737
AT3G23250	AT5G25250	0.07677281488335573
AT4G04890	AT5G63560	0.212533610236199
AT2G43000	AT3G25610	0.05364895705735067
AT3G23250	AT3G44720	0.09489100355158342
AT2G30250	AT1G70810	0.01635557761612501
AT1G28470	AT5G25930	0.04508652184881856
AT2G38340	AT3G15500	0.009933552537516181
AT2G38340	AT2G32210	0.010703615676109487
AT2G38340	AT3G10930	0.002941620961405301
AT1G28470	AT3G48020	0.0030136646851510944
AT3G15500	AT1G26380	0.02375511635141036
AT2G22540	AT4G38580	0.009625932907376332
AT1G32870	AT2G36800	0.41732257084829033
AT2G43000	AT4G01010	0.02156355316777375
AT4G04890	AT3G13380	0.07725349496594039
AT1G18570	AT4G28350	0.15852034106370924
AT3G01970	AT1G02520	0.002218303301395226
AT2G22540	AT4G20230	4.710111191414113e-05
AT3G50260	AT4G29020	0.07265690038923167
AT3G23250	AT1G74590	0.026551355330428763
AT4G04890	AT5G25610	0.010791332591180747
AT1G18570	AT2G39400	0.055190428958313394
AT1G27730	AT1G25400	0.1306112450824344
AT1G34180	AT4G25960	0.0003526034835497251
AT4G04890	AT1G06360	0.02592323475935054
AT3G23250	AT1G33030	0.008849724912393067
AT1G28470	AT1G55020	0.00012160329207416843
