TF	Target	importance
AT5G47390	AT5G25830	0.006905163285779871
AT1G72360	AT5G19120	0.02968020531436669
AT3G22830	AT5G23010	0.027955719998368368
AT5G47390	AT5G19120	0.02486211486456707
AT5G47390	AT4G19420	0.001590826443308436
AT1G74840	AT5G28770	0.026890648399131224
AT3G47500	AT1G31050	0.0386254330149128
AT5G47390	AT2G42280	0.001854740909136521
AT2G38470	AT4G20000	0.02622458082526029
AT1G74840	AT2G38400	0.022723167213710718
AT5G28770	AT5G47390	0.0014620194476146057
AT2G40340	AT1G60750	0.003528440804394029
AT2G33710	AT5G39050	0.013443015329575099
AT5G11260	AT1G13740	0.01518509402160359
AT1G27730	AT4G24570	0.0011211906862297518
AT1G22810	AT4G22690	0.026177866591244256
AT5G28770	AT2G25900	0.0012409900980303644
AT1G18330	AT2G29800	0.002412534043610354
AT5G62940	AT1G30490	0.017141325779809792
AT5G08520	AT1G13450	0.011819369277410735
AT5G08520	AT2G24150	0.010736880395897428
AT3G47500	AT5G67160	0.004690390188410683
AT4G37260	AT1G10150	0.004865744149190848
AT3G10113	AT5G36870	0.028759588729389468
AT2G46590	AT2G43100	0.02021631505382684
AT5G47390	AT4G19160	0.04880707357285221
AT5G47390	AT3G07310	0.016913945322752356
AT3G23250	AT1G37000	0.008294340782542008
AT1G72360	AT5G13080	0.0007722427324271716
AT1G13260	AT1G20650	4.480912465631725e-05
AT1G25550	AT5G64040	0.040122817068427075
AT1G08320	AT2G38400	0.0007729010104616686
AT1G74840	AT3G10020	0.02540630801703576
AT1G36060	AT1G22530	0.018656043198355544
AT1G77920	AT3G59360	0.07632758663715437
AT1G13450	AT5G19120	0.052431593907583326
AT5G13080	AT3G52070	5.526018077548449e-05
AT3G11280	AT5G18670	4.4931272982091756e-06
AT2G37590	AT2G02130	0.005961559229776128
AT1G51700	AT1G37140	0.02035379954070813
AT5G47390	AT3G52060	0.010004155216503717
AT5G47390	AT2G15890	0.014001350818381645
AT3G49530	AT2G05940	0.002414428035589229
AT1G74840	AT1G58180	0.013112036590714193
AT1G74840	AT1G13450	0.09608672379380491
AT5G67300	AT5G58930	0.0030869448453384996
AT4G36730	AT1G15040	0.057995747076280336
AT1G74840	AT3G59940	0.007590480756743451
AT5G47390	AT3G59940	0.04674660199245866
AT1G76590	AT3G10020	0.0028370292523261136
AT1G76590	AT4G37260	0.0013265518965157436
AT1G72360	AT2G42280	0.025943717252859617
AT1G74840	AT5G13090	0.030148494527405055
AT5G08520	AT5G60680	0.02825211516548402
AT1G72360	AT3G26510	0.011941133577165789
AT1G25550	AT1G60010	9.262662761284402e-05
AT2G44940	AT5G37550	0.011205555781449033
AT5G08520	AT5G61590	0.0002538609615654204
AT3G61150	AT3G46700	0.01743522008892487
AT3G50060	AT5G53030	0.0039002414447713678
AT5G47390	AT1G58180	0.01625383978306418
AT1G72360	AT2G24150	0.013085018932876388
AT3G20770	AT4G26220	0.015393856911691216
AT1G74840	AT1G11260	0.007610218864116394
AT1G46768	AT1G60000	0.0011584794074982587
AT5G08520	AT2G28120	0.016123415810696488
AT1G74650	AT2G05840	0.011938913800159968
AT5G28770	AT5G41080	0.00045451673575620815
AT1G74840	AT1G31120	0.0984436231580557
AT1G25550	AT2G40000	0.026302747155799208
AT1G76590	AT4G14270	0.020594854288564272
AT1G74840	AT1G28100	0.0119130653971588
AT5G47390	AT5G18650	0.000761986827606112
