Gene_ID,GeneName,GSM744800,GSM744801,GSM744802,GSM744803,GSM744804,GSM744805,GSM744806,GSM744807,GSM744808,GSM744809,GSM744810,GSM744811
244974_at,,24.1438,19.3114,62.8244,67.0464,36.3675,37.9579,24.6003,51.4706,51.4966,95.2153,33.526,58.5964
244975_at,,341.965,271.085,368.138,356.541,270.725,317.869,364.51,314.282,311.506,365.087,240.415,209.851
244976_at,,2346.17,2574.53,2478.48,2518.79,2303.78,2750.16,2752.57,2471.61,2613.86,2507.96,1997.38,2065.01
244977_at,,53.8429,36.3282,47.0856,75.8897,33.7518,16.3761,58.2411,45.6942,35.578,99.4239,40.4236,113.278
244978_at,,621.573,712.351,775.193,736.872,477.07,403.449,568.142,558.211,515.679,646.57,640.792,494.258
244979_at,,389.85,236.604,379.918,297.509,280.107,227.95,295.688,243.455,331.565,237.079,314.971,242.04
244980_at,,248.822,180.312,421.779,290.985,235.581,224.14,336.108,225.514,267.351,208.024,205.617,180.02
244981_at,,215.608,256.261,293.808,234.122,165.474,193.965,274.086,187.374,220.576,227.452,223.638,174.202
244982_at,,417.467,582.988,826.977,565.478,560.817,350.609,667.984,354.982,724.83,652.737,499.346,395.455
244983_at,,947.435,895.543,1249.01,963.049,1146.41,812.823,1094.59,903.803,1359.02,922.843,722.036,667.891
244984_at,,1052.94,1200.19,1298.08,1170.03,1310.78,997.625,1197.39,1026.23,924.141,1089.4,906.807,802.462
244985_at,,852.358,488.884,877.232,691.507,582.779,716.708,605.549,685.877,623.294,725.47,675.844,391.349
244986_at,,990.203,1109.72,1003.66,1303.22,1005.6,934.71,936.784,978.989,935.755,687.348,766.827,591.383
244987_s_at,,3238.06,3759.55,3319.17,3903.64,3523.11,3037.87,3278.28,2716.6,3515.2,2747.97,2765.7,2158.73
244988_s_at,,478.574,640.679,911.267,610.499,600.803,657.34,892.89,571.722,868.888,891.722,765.227,602.316
244989_s_at,,33.1802,38.2137,50.4189,83.4397,40.3346,12.1608,44.9826,26.7235,39.5831,70.073,33.1894,71.8055
244990_s_at,,41.5565,28.6797,46.4074,65.1282,37.3061,23.7306,58.2995,40.4549,30.1965,116.924,55.5312,89.4144
244991_s_at,,34.7304,35.347,29.6862,37.7415,27.4562,27.1002,49.5463,36.4029,37.372,66.938,15.3706,51.9764
244992_s_at,,2898.03,2520.66,2894.18,2601.2,2670.01,1842.98,2435.37,2095.3,2913.68,2384.25,2281.3,1714.98
244993_s_at,,811.182,1093.28,1088.49,786.18,710.86,846.474,1070.65,832.139,1203.79,1180.32,846.655,895.647
244994_at,,32.3571,39.6433,49.0669,54.3575,26.9296,18.5925,39.0555,151.843,34.4478,99.3339,43.2605,74.2939
244995_at,,42.2815,36.4453,42.2572,55.1293,30.6154,7.2026,50.5419,39.1701,25.8571,47.9032,35.9046,44.0552
244996_at,,587.584,477.647,564.444,566.69,441.914,393.074,507.235,507.222,579.818,611.266,562.025,382.477
244997_at,,163.916,226.464,232.762,198.661,137.9,142.649,161.602,122.955,183.662,232.702,155.792,79.5323
244998_at,,588.05,562.62,901.185,625.498,552.898,729.831,894.116,583.36,827.617,573.014,551.989,449.888
244999_at,,66.7202,34.1554,73.1041,124.977,78.1312,30.4992,51.182,22.8366,57.8413,67.2915,88.2467,86.4316
245000_at,,95.0947,98.14,109.354,226.602,90.5226,74.6161,166.504,130.073,82.3565,157.931,88.4794,244.717
245001_at,,1794.97,863.093,3061.36,3306.81,1010.06,3480.73,3499.55,3783.62,2218.28,2395.67,2874.24,1322.77
245002_at,,102.41,62.9179,63.108,134.188,102.216,67.4658,134.242,98.2993,111.488,153.652,89.7304,99.7938
245003_at,,345.585,259.713,501.774,469.506,341.194,346.755,517.645,422.268,470.152,417.837,349.791,301.712
245004_at,,331.303,394.192,515.54,443.261,283.371,235.791,421.661,281.646,385.192,414.417,298.841,307.087
245005_at,,71.673,19.5399,58.8254,170.779,45.411,7.6975,56.4139,23.4935,16.3959,257.144,80.274,181.495
245006_at,,2199.86,2275.73,2402.32,2221.69,2501.29,1722.94,2171.3,1516.44,2772.83,1792.47,1601.05,1243.52
245007_at,,298.749,128.006,329.805,247.087,293.719,247.357,356.342,151.461,423.045,259.618,249.262,130.886
245008_at,,137.743,64.9619,213.416,244.649,174.634,78.775,175.611,94.7063,120.213,289.389,209.304,267.276
245009_at,,1253.61,1238.13,1506.21,1669.73,1242.72,1141.29,1456.18,1099.93,1306.4,1141.35,874.437,825.667
245010_at,,61.5934,63.1652,83.8472,74.4162,60.293,60.8261,57.1262,65.6867,96.1209,108.511,72.3318,85.1238
245011_at,,34.7507,54.7646,49.7877,65.6819,59.4542,20.891,77.3009,46.0796,83.0664,79.0752,52.2308,70.1593
245012_at,,239.186,286.563,241.656,276.499,231.214,242.52,305.654,330.412,276.364,342.461,316.57,226.201
245013_at,,3766.11,3404.41,5227.9,4241.28,5571.73,3296.39,4839.95,3596.84,3462.74,3969.07,3589.85,3287.52
245014_at,,3600.7,2994.23,3097.33,4933.28,2961.77,3697.57,3568.25,3487.16,3838.2,2744.43,3268.85,2455.43
245015_at,,352.65,179.162,347.959,316.825,407.086,305.771,421.443,322.99,311.539,337.807,296.154,367.112
245016_at,,833.803,420.395,991.945,513.638,850.111,588.268,873.503,553.115,858.701,664.996,766.478,413.455
245017_at,,940.135,852.623,1361.03,1120.33,1016.6,981.689,1194.12,1181.37,1042.7,911.932,897.031,728.63
245018_at,,463.749,306.538,446.631,383.855,363.599,285.566,426.728,374.984,417.026,400.047,327.507,281.169
245019_at,,878.503,522.027,854.49,597.435,762.527,545.115,728.091,517.24,884.962,653.142,699.409,464.331
245020_at,,1144.88,1117.3,1022.15,737.746,1055.13,653.113,985.621,849.902,1018.13,829.908,928.955,746.687
245021_at,,258.148,212.202,259.535,203.94,166.36,182.736,242.046,239.816,243.385,348.291,259.702,258.785
245022_at,,50.0554,79.8327,81.477,160.285,74.7797,56.9184,90.5284,40.7913,85.4508,70.5348,68.1628,46.9799
245023_at,,573.808,595.661,538.511,810.255,449.217,449.835,555.824,409.46,567.588,492.933,361.425,323.891
245024_at,,1605.84,1189.76,1853.91,1566.57,1664.72,772.898,1676.63,601.773,1151.45,1004.61,1260.23,568.012
245025_at,,274.955,196.139,345.635,213.019,229.137,126.334,347.806,169.867,331.986,220.492,266.751,155.258
245026_at,,394.863,190.213,614.897,681.533,536.514,179.24,551.501,107.375,294.608,283.547,385.457,469.347
245027_at,AT2G26550,47.3072,56.0603,73.3157,67.7671,39.3826,52.6025,59.5408,54.8307,42.6349,41.8277,54.3755,51.5547
245028_at,AT2G26570,201.846,234.435,179.676,164.195,163.859,186.405,208.092,206.912,268.406,169.909,168.493,208.587
245029_at,AT2G26580,8.20617,1.55683,10.3299,10.823,2.46913,12.97,5.44454,2.18448,4.92486,10.2578,0.760531,3.28359
245030_at,AT2G26620,0.37159,14.9516,0.699031,11.173,0.675549,0.951392,0.345487,1.62334,0.806671,0.452923,2.5501,0.581829
245031_at,AT2G26360,100.4,190.144,75.3871,77.0083,77.6287,74.2168,69.0202,83.6454,89.9673,97.4538,103.404,78.3118
245032_at,,11.6803,14.9318,1.06945,2.04769,3.02377,19.1045,9.11733,15.5749,1.27279,4.09015,13.1876,11.7637
245033_at,AT2G26380,5.82119,2.59855,5.64432,10.2076,4.05043,1.63688,3.75651,14.6997,1.69032,2.01442,1.49485,2.8131
245034_at,AT2G26390,37.6089,26.7516,52.1767,45.9142,20.6771,35.3078,29.9755,23.8463,25.875,55.7525,31.1822,38.4354
245035_at,AT2G26400,17.3328,35.2386,34.0159,38.5953,30.0742,46.6047,33.6418,46.7692,29.1264,23.5482,33.2807,35.5506
245036_at,AT2G26410,76.7874,82.0753,64.3554,36.3025,49.4202,24.6859,31.7603,34.7923,38.7235,33.5066,25.2027,55.7855
245037_at,AT2G26420,39.5497,41.7467,47.2072,23.2659,55.5055,42.7977,48.0335,39.7178,31.896,46.7866,47.2492,58.3199
245038_at,AT2G26560,144.293,112.122,88.9444,30.6213,20.2934,16.189,27.3493,23.0955,48.7509,20.2985,26.2772,54.4356
245039_at,AT2G26600,254.329,344.394,270.597,254.98,210.559,259.07,302.804,239.57,308.877,238.545,224.378,256.77
245040_at,AT2G26520,11.5609,12.6935,19.9697,16.6205,13.2615,39.7397,21.0274,20.2573,8.42793,6.65067,17.3065,20.725
245041_at,AT2G26530,99.6564,298.433,186.576,211.624,63.3904,83.2445,73.0764,74.2759,76.0199,85.9749,87.0665,88.6613
245042_at,AT2G26540,36.6069,57.4307,41.891,58.1346,47.0682,36.0971,53.8514,34.34,40.9548,57.6661,55.0598,53.7219
245043_at,AT2G26430,253.13,238.341,224.876,235.349,227.454,198.213,240.231,213.717,248.967,235.232,216.276,252.666
245044_at,AT2G26500,253.893,315.388,121.595,166.206,169.204,118.034,155.397,220.621,335.807,220.88,189.666,256.036
245045_at,AT2G26590,855.525,770.939,841.377,791.035,571.471,794.454,689.798,821.55,780.285,852.392,862.507,706.966
245046_at,AT2G26510,1059.8,968.537,852.985,776.14,827.353,1070.54,1091.64,1137.19,1216.97,1065.07,1044.69,1244.44
245047_at,,251.305,133.124,271.734,221.4,206.619,133.831,300.233,158.921,289.854,225.371,196.11,194.006
245048_at,,1586.2,1635.93,1636.61,1733.07,1780.66,2177.46,2525.17,2102.36,2309.6,1355.77,1551.49,1442.77
245049_at,,69.776,65.5413,68.0662,58.9233,43.8589,36.4127,64.3974,54.1263,43.9935,44.2144,51.9049,44.5532
245050_at,,465.656,511.299,401.933,633.496,415.283,239.899,506.89,326.84,412.388,380.661,425.785,348.547
245051_at,AT2G23320,258.826,279.781,228.95,231.268,184.82,234.42,233.003,203.825,180.557,233.265,159.304,223.75
245052_at,AT2G26440,52.9194,27.4001,45.8239,56.3983,22.5192,30.2622,29.4741,36.6214,26.4415,34.3535,36.617,26.4455
245053_at,AT2G26450,21.1404,6.75908,3.5706,5.02403,9.10513,19.6175,7.40447,18.0137,3.03824,23.7734,7.94587,9.13402
245054_at,AT2G26460,138.768,125.439,125.974,139.453,157.209,137.797,129.437,121.182,114.407,150.113,143.029,128.526
245055_at,AT2G26470,63.6986,53.6121,42.9737,51.2905,37.3182,46.8396,42.7665,42.6027,43.6399,58.8972,41.4162,39.904
245056_at,AT2G26480,90.5679,121.555,101.687,95.1104,81.4637,81.7914,87.3621,71.2171,80.2757,82.1977,90.4767,67.5223
245057_at,AT2G26490,4.41308,7.98471,3.90523,3.79544,18.6932,7.36824,1.35323,1.83893,2.33387,6.90674,3.28855,2.63417
245058_at,AT2G39790,3.12368,1.24106,1.0097,1.19947,5.1344,1.87564,0.980703,2.72977,0.595551,13.9456,1.05324,2.0803
245059_at,AT2G39720,258.22,285.56,318.212,274.024,322.761,345.653,324.426,398.011,324.772,368.485,311.287,414.248
245060_at,AT2G39770,1340.67,1042.68,1691.85,1619.56,1753.73,1618.59,1564.61,1734.27,1489.84,1378.81,1772.99,2107.68
245061_at,AT2G39730,397.952,396.176,293.162,317.078,218.814,208.095,329.762,459.75,460.167,321.723,289.986,434.752
245062_at,AT2G39760,341.372,317.95,375.529,330.086,307.355,358.607,360.58,425.788,345.691,372.086,392.083,344.128
245063_at,AT2G39795,311.55,256.244,413.276,315.574,401.367,303.307,364.804,282.379,294.827,421.893,335.759,321.241
245064_at,AT2G39725,101.121,106.706,161.317,149.211,156.967,157.149,148.538,154.234,139.367,129.949,124.948,128.988
